"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0002697","regulation of immune effector process","165/2331","441/17913",1.65228529697274e-39,9.73856954035735e-36,8.52057438933629e-36,"IGHG4/IGHV3-23/IGLV3-25/IGKV1-16/IGLV6-57/MZB1/IGLV3-21/IGLV1-44/IGKV3-20/IGHV1-69/IGLV1-51/IGLC3/IGHV4-39/IGHG3/IGHG1/IGHV3-13/IGLV1-47/IGHG2/IRF4/IGKV2D-28/IGKV4-1/IGLV2-14/IGLV2-23/IGHV3-33/IGHV2-5/IGKV2-30/IGHV1OR15-1/IGHV3-48/IGKV1-17/IGKV1-39/IGLV2-11/IGKV2-28/IGHV3-7/IGLC6/MICB/IGLV3-19/IGHV4-59/IGHV4-34/IGKV1D-33/IGLV1-40/IGLV3-1/IGHV3-53/IGKV3D-20/IGLV7-43/IGLV3-27/NOD2/SLAMF6/IGKV1D-39/LTA/BIRC3/CRTAM/CD74/IGKV1-12/PTPRC/IGKV3-15/STAT1/IGKV3D-11/PARP9/IGKV1-5/CD244/CD28/IGKV2D-30/SH2D1A/TBX21/CD84/ITGB2/JAK3/SEMA7A/IL1B/LAG3/IGHV3-11/SERPINB4/XCL1/IGLC7/FCGR2B/HLA-F/KLK5/PRAM1/IGKV2-29/CR1/CFB/KLRK1/CCR2/IGLC2/HAVCR2/B2M/UNC13D/BST2/CD86/CD96/C8G/TSPAN32/TNFAIP3/HLA-E/IGHV2-70/CD40/CLU/DHX58/C4BPA/DTX3L/ZC3H12A/RASGRP1/IFIT1/IL10/NLRX1/ELMOD2/A2M/IL4R/TLR9/MAD2L2/RSAD2/APOBEC3G/FCER1G/IGKV5-2/IFNL1/RIPK2/HLA-G/LILRB1/PAXIP1/BCL10/IL18RAP/RAC2/IL2/DDX1/TGFB3/FOXF1/TRAF3IP2/TRAF3/LYN/VAV1/WNT5A/HMOX1/C1QA/KLK7/TRAF2/CPB2/CD300A/C5AR1/CFI/IL33/IL27/ITGAM/MYB/IL18R1/STAT6/STAT5B/HTRA1/TNFRSF1B/PTAFR/SLAMF8/C4B/SH2D1B/SMAD7/DDX60/TRPM4/IFNLR1/CD22/HSPD1/SOCS5/VTN/FGR/HLA-DMB/PRKCZ/IL12A/XBP1",165
"BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","128/2331","295/17913",1.24605120493038e-38,3.67211290092983e-35,3.21284465944944e-35,"IGHG4/IGHV3-23/IGLV3-25/IGKV1-16/IGLV6-57/IGLV3-21/IGLV1-44/IGKV3-20/IGHV1-69/IGLV1-51/IGLC3/IGHV4-39/IGHG3/IGHG1/IGHV3-13/IGLV1-47/IGHG2/IRF4/IGKV2D-28/IGKV4-1/IGLV2-14/KLHL6/IGLV2-23/IGHV3-33/IGHV2-5/IGKV2-30/IGHV1OR15-1/IGHV3-48/IGKV1-17/IGKV1-39/IGLV2-11/IGKV2-28/IGHV3-7/IGLC6/IGLV3-19/IGHV4-59/IGHV4-34/IGKV1D-33/LY9/IGLV1-40/IGLV3-1/IGHV3-53/IGKV3D-20/IGLV7-43/IGLV3-27/SLAMF6/IGKV1D-39/LTA/CD74/IGKV1-12/PTPRC/IGKV3-15/IGKV3D-11/CD27/MYO1G/IGKV1-5/CD28/IGKV2D-30/TBX21/JAK3/GCNT3/IL1B/IGHV3-11/XCL1/IGLC7/FCGR2B/HLA-F/RAB27A/RELB/SPN/IGKV2-29/CD274/CR1/CXCL13/CCR2/IGLC2/HAVCR2/SLA2/B2M/UNC13D/RFTN1/C8G/TNFAIP3/EBI3/HLA-E/IGHV2-70/CD40/NFKB2/CLU/C4BPA/ZC3H12A/IL10/PRF1/BATF/IL18BP/IL4R/MAD2L2/RSAD2/FCER1G/IGKV5-2/RIPK2/HLA-G/HLA-DQB1/LILRB1/PAXIP1/BCL10/IL18RAP/IL2/BCL3/C1QA/TRAF2/ICAM1/GZMM/CFI/IL33/IL27/AIRE/IL18R1/STAT6/TNFRSF1B/C4B/SMAD7/TRPM4/HSPD1/SOCS5/HPRT1/PRKCZ/IL12A",128
"BP","GO:0002449","lymphocyte mediated immunity","125/2331","293/17913",7.8745547600607e-37,1.54708752519326e-33,1.35359451822938e-33,"IGHG4/IGHV3-23/IGLV3-25/IGKV1-16/IGLV6-57/IGLV3-21/IGLV1-44/IGKV3-20/IGHV1-69/IGLV1-51/IGLC3/IGHV4-39/IGHG3/IGHG1/IGHV3-13/IGLV1-47/IGHG2/IGKV2D-28/IGKV4-1/IGLV2-14/SLAMF7/IGLV2-23/IGHV3-33/IGHV2-5/IGKV2-30/IGHV1OR15-1/IGHV3-48/IGKV1-17/IGKV1-39/IGLV2-11/IGKV2-28/IGHV3-7/IGLC6/IGLV3-19/IGHV4-59/IGHV4-34/IGKV1D-33/IGLV1-40/IGLV3-1/IGHV3-53/IGKV3D-20/IGLV7-43/IGLV3-27/SLAMF6/IGKV1D-39/LTA/CRTAM/CD74/IGKV1-12/PTPRC/IGKV3-15/IGKV3D-11/CD27/MYO1G/IGKV1-5/CD28/IGKV2D-30/SH2D1A/TBX21/GCNT3/IL1B/LAG3/IGHV3-11/SERPINB4/XCL1/KLRD1/IGLC7/FCGR2B/HLA-F/RAB27A/IGKV2-29/CR1/KLRK1/CCR2/IGLC2/HAVCR2/KLRC2/SLA2/B2M/UNC13D/RFTN1/CD96/C8G/HLA-E/IGHV2-70/CD40/CLU/C4BPA/RASGRP1/IL10/PRF1/BATF/IL4R/MAD2L2/RSAD2/FCER1G/IGKV5-2/HLA-G/HLA-DQB1/LILRB1/PAXIP1/BCL10/IL18RAP/IL2/BCL3/VAV1/C1QA/TRAF2/ICAM1/GZMM/CFI/LYST/AIRE/IL18R1/STAT6/STAT5B/TNFRSF1B/C4B/SH2D1B/SMAD7/TRPM4/HSPD1/HPRT1/PRKCZ/IL12A",125
"BP","GO:0002455","humoral immune response mediated by circulating immunoglobulin","66/2331","104/17913",3.55420101671753e-33,5.23711519813328e-30,4.58211336339452e-30,"IGHG4/IGHV3-23/IGLV3-25/IGKV1-16/IGLV6-57/IGLV3-21/IGLV1-44/IGKV3-20/IGHV1-69/IGLV1-51/IGLC3/IGHV4-39/IGHG3/IGHG1/IGHV3-13/IGLV1-47/IGHG2/IGKV2D-28/IGKV4-1/IGLV2-14/IGLV2-23/IGHV3-33/IGHV2-5/IGKV2-30/IGHV1OR15-1/IGHV3-48/IGKV1-17/IGKV1-39/IGLV2-11/IGKV2-28/IGHV3-7/IGLC6/IGLV3-19/IGHV4-59/IGHV4-34/IGKV1D-33/IGLV1-40/IGLV3-1/IGHV3-53/IGKV3D-20/IGLV7-43/IGLV3-27/IGKV1D-39/LTA/IGKV1-12/PTPRC/IGKV3-15/IGKV3D-11/IGKV1-5/IGKV2D-30/IGHV3-11/IGLC7/FCGR2B/IGKV2-29/CR1/IGLC2/C8G/IGHV2-70/CLU/C4BPA/IGKV5-2/HLA-DQB1/BCL3/C1QA/CFI/C4B",66
"BP","GO:0006958","complement activation, classical pathway","61/2331","91/17913",8.65630013962248e-33,1.0204046604587e-29,8.92783460716011e-30,"IGHG4/IGHV3-23/IGLV3-25/IGKV1-16/IGLV6-57/IGLV3-21/IGLV1-44/IGKV3-20/IGHV1-69/IGLV1-51/IGLC3/IGHV4-39/IGHG3/IGHG1/IGHV3-13/IGLV1-47/IGHG2/IGKV2D-28/IGKV4-1/IGLV2-14/IGLV2-23/IGHV3-33/IGHV2-5/IGKV2-30/IGHV1OR15-1/IGHV3-48/IGKV1-17/IGKV1-39/IGLV2-11/IGKV2-28/IGHV3-7/IGLC6/IGLV3-19/IGHV4-59/IGHV4-34/IGKV1D-33/IGLV1-40/IGLV3-1/IGHV3-53/IGKV3D-20/IGLV7-43/IGLV3-27/IGKV1D-39/IGKV1-12/IGKV3-15/IGKV3D-11/IGKV1-5/IGKV2D-30/IGHV3-11/IGLC7/IGKV2-29/CR1/IGLC2/C8G/IGHV2-70/CLU/C4BPA/IGKV5-2/C1QA/CFI/C4B",61
"BP","GO:0050900","leukocyte migration","158/2331","467/17913",6.93414137863937e-32,6.8116382142834e-29,5.95971203753583e-29,"IGHV3-23/IGLV3-25/IGKV1-16/IGLV6-57/IGLV3-21/CHGA/IGLV1-44/IGKV3-20/IGHV1-69/IGLV1-51/IGLC3/IGHV4-39/IGHV3-13/IGLV1-47/IGKV2D-28/IGKV4-1/IGLV2-14/IGLV2-23/IGHV3-33/IGHV2-5/IGKV2-30/IGHV1OR15-1/IGHV3-48/IGKV1-17/IGKV1-39/IGHA1/CXCL10/IGLV2-11/IGKV2-28/IGHV3-7/IGLC6/SCG2/IGLV3-19/IGHV4-59/IGHV4-34/IGKV1D-33/IGLV1-40/IGLV3-1/IGHV3-53/IGKV3D-20/IGLV7-43/IGLV3-27/JCHAIN/IGKV1D-39/CCL25/DOK2/CD74/SLC7A5/IGKV1-12/OLR1/IGKV3-15/IGKV3D-11/LCK/MYO1G/CEACAM5/IGKV1-5/CD244/IGKV2D-30/NCKAP1L/TNFRSF18/SIRPG/TBX21/CD84/ITGB2/ADAM8/CCR5/PIK3CG/CXCR4/CXCL11/IGHV3-11/GREM1/XCL1/ITGA4/IGLC7/SPN/IGKV2-29/VPREB1/ITGAL/CD2/CXCL13/KLRK1/CCR2/IGLC2/STAP1/THBS4/ELANE/GP6/ITGB7/ZAP70/MERTK/BDKRB1/MAG/HCK/IGHV2-70/DOCK8/SELPLG/SLC7A7/IL10/JAML/CEACAM6/PTPRO/CH25H/GPR183/IGHM/DYSF/TNFRSF11A/TNFSF14/TRPV4/FCER1G/IGKV5-2/CD48/TNFRSF10A/CCL2/ITGAX/RAC2/LYN/CX3CL1/VAV1/SLC3A2/VAV3/WNT5A/MSN/IGLL1/HMOX1/GYPB/COL1A1/CD200R1/ICAM1/ITGB1/CD300A/DUSP1/C5AR1/IRAK4/IL33/CX3CR1/ITGAM/LYST/TACR1/AIRE/SAA1/COL1A2/GBF1/STAT5B/PTAFR/SLAMF8/THBS1/AIF1/PTGER4/ROCK1/PSG1/TRPM4/SLC7A6/CCR1/MDK/SMPD3/CALCA/PRTN3/IL12A",158
"BP","GO:0019724","B cell mediated immunity","86/2331","173/17913",1.15773625241426e-31,9.74813924532804e-29,8.52894721891345e-29,"IGHG4/IGHV3-23/IGLV3-25/IGKV1-16/IGLV6-57/IGLV3-21/IGLV1-44/IGKV3-20/IGHV1-69/IGLV1-51/IGLC3/IGHV4-39/IGHG3/IGHG1/IGHV3-13/IGLV1-47/IGHG2/IGKV2D-28/IGKV4-1/IGLV2-14/IGLV2-23/IGHV3-33/IGHV2-5/IGKV2-30/IGHV1OR15-1/IGHV3-48/IGKV1-17/IGKV1-39/IGLV2-11/IGKV2-28/IGHV3-7/IGLC6/IGLV3-19/IGHV4-59/IGHV4-34/IGKV1D-33/IGLV1-40/IGLV3-1/IGHV3-53/IGKV3D-20/IGLV7-43/IGLV3-27/IGKV1D-39/LTA/CD74/IGKV1-12/PTPRC/IGKV3-15/IGKV3D-11/CD27/IGKV1-5/CD28/IGKV2D-30/TBX21/GCNT3/IGHV3-11/XCL1/IGLC7/FCGR2B/IGKV2-29/CR1/IGLC2/SLA2/C8G/HLA-E/IGHV2-70/CD40/CLU/C4BPA/IL10/BATF/IL4R/MAD2L2/FCER1G/IGKV5-2/HLA-G/HLA-DQB1/PAXIP1/BCL10/IL2/BCL3/C1QA/CFI/STAT6/C4B/HSPD1",86
"BP","GO:0006959","humoral immune response","112/2331","276/17913",9.7442945347928e-31,7.17910899850859e-28,6.28122354288815e-28,"IGHG4/IGHV3-23/IGLV3-25/IGKV1-16/IGLV6-57/IGLV3-21/CHGA/IGLV1-44/IGKV3-20/IGHV1-69/IGLV1-51/IGLC3/IGHV4-39/IGHG3/IGHG1/IGHV3-13/IGLV1-47/IGHG2/IGKV2D-28/IGKV4-1/IGLV2-14/IGLV2-23/IGHV3-33/IGHV2-5/IGKV2-30/IGHV1OR15-1/IGHV3-48/IGKV1-17/IGKV1-39/IGHA1/POU2AF1/IGLV2-11/IGKV2-28/IGHV3-7/IGLC6/IGLV3-19/IGHV4-59/IGHV4-34/IGKV1D-33/IGLV1-40/IGLV3-1/IGHV3-53/IGKV3D-20/IGLV7-43/IGLV3-27/JCHAIN/IGKV1D-39/LTA/IGKV1-12/PTPRC/IGKV3-15/IGKV3D-11/PGLYRP1/IGKV1-5/CD28/IGKV2D-30/SH2D1A/IL1B/HIST1H2BJ/KLK3/IGHV3-11/IGLC7/FCGR2B/KLK5/IGKV2-29/CR1/CD83/PDCD1/CFB/CXCL13/CCR2/IGLC2/ELANE/BPI/SEMG1/CAMP/C8G/EBI3/HLA-E/IGHV2-70/CLU/C4BPA/DCD/A2M/GPR183/IGHM/HIST2H2BE/IGKV5-2/CCL2/HLA-DQB1/BPIFA1/BCL3/EPPIN/ST6GAL1/GNLY/PSMB10/C1QA/KLK7/CPB2/C5AR1/CFI/PLA2G2A/KRT6A/HIST1H2BC/FCN2/C4B/HIST1H2BK/RNASE6/VTN/PRTN3/DEFA6/LCN2",112
"BP","GO:0016064","immunoglobulin mediated immune response","84/2331","171/17913",1.78115841470426e-30,1.16646085514077e-27,1.0205725232323e-27,"IGHG4/IGHV3-23/IGLV3-25/IGKV1-16/IGLV6-57/IGLV3-21/IGLV1-44/IGKV3-20/IGHV1-69/IGLV1-51/IGLC3/IGHV4-39/IGHG3/IGHG1/IGHV3-13/IGLV1-47/IGHG2/IGKV2D-28/IGKV4-1/IGLV2-14/IGLV2-23/IGHV3-33/IGHV2-5/IGKV2-30/IGHV1OR15-1/IGHV3-48/IGKV1-17/IGKV1-39/IGLV2-11/IGKV2-28/IGHV3-7/IGLC6/IGLV3-19/IGHV4-59/IGHV4-34/IGKV1D-33/IGLV1-40/IGLV3-1/IGHV3-53/IGKV3D-20/IGLV7-43/IGLV3-27/IGKV1D-39/LTA/CD74/IGKV1-12/PTPRC/IGKV3-15/IGKV3D-11/CD27/IGKV1-5/CD28/IGKV2D-30/TBX21/GCNT3/IGHV3-11/XCL1/IGLC7/FCGR2B/IGKV2-29/CR1/IGLC2/C8G/HLA-E/IGHV2-70/CD40/CLU/C4BPA/IL10/BATF/IL4R/MAD2L2/FCER1G/IGKV5-2/HLA-DQB1/PAXIP1/BCL10/IL2/BCL3/C1QA/CFI/STAT6/C4B/HSPD1",84
"BP","GO:0002920","regulation of humoral immune response","73/2331","135/17913",4.03275673228122e-30,2.35084201894046e-27,2.05682407636478e-27,"IGHG4/IGHV3-23/IGLV3-25/IGKV1-16/IGLV6-57/IGLV3-21/IGLV1-44/IGKV3-20/IGHV1-69/IGLV1-51/IGLC3/IGHV4-39/IGHG3/IGHG1/IGHV3-13/IGLV1-47/IGHG2/IGKV2D-28/IGKV4-1/IGLV2-14/IGLV2-23/IGHV3-33/IGHV2-5/IGKV2-30/IGHV1OR15-1/IGHV3-48/IGKV1-17/IGKV1-39/IGLV2-11/IGKV2-28/IGHV3-7/IGLC6/IGLV3-19/IGHV4-59/IGHV4-34/IGKV1D-33/IGLV1-40/IGLV3-1/IGHV3-53/IGKV3D-20/IGLV7-43/IGLV3-27/IGKV1D-39/LTA/IGKV1-12/PTPRC/IGKV3-15/IGKV3D-11/IGKV1-5/IGKV2D-30/IL1B/IGHV3-11/IGLC7/FCGR2B/KLK5/IGKV2-29/CR1/CFB/CXCL13/IGLC2/C8G/IGHV2-70/CLU/C4BPA/A2M/IGKV5-2/C1QA/KLK7/CPB2/C5AR1/CFI/C4B/VTN",73
