"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","146/3706","295/17913",1.42027430260466e-28,8.68923818333534e-25,7.74423251314965e-25,"BCL3/IL10/IL18BP/MYO1G/IGLV1-51/IRF4/RELB/C1S/CR1/C1RL/C1R/IGLV3-25/SLC11A1/EBI3/XCL1/IGHG4/STAT3/IGHV1OR15-1/IL18R1/IL1RL1/IL4R/KLHL6/IL18RAP/CEACAM1/PTPRC/PRKCQ/FCER1G/IL6/TBX21/SERPING1/HAVCR2/SLAMF6/NFKBIZ/IL1B/IGHV3-13/CLEC4G/FCER2/IGKV1-17/IGHV2-70/TNFAIP3/HLA-DQB1/PRF1/ZC3H12A/LEF1/TNFRSF1B/IGLV1-40/NFKB2/C3/ADA/IGKV1-16/GCNT3/DUSP22/RAB27A/TLR4/HLA-G/JAK3/C7/SLA2/MAD2L2/IL1R1/IGLV1-47/BCL6/IGHG1/LY9/IL2/IGHV3-33/BATF/ZP3/IGLV6-57/HLA-F/SWAP70/CCR2/IGKV1-39/IGLV3-19/IGHV4-39/IGLV1-44/C4BPB/IGLV2-14/IGHV1-69/IGKV1D-39/C4A/IL27/IGHG3/TCIRG1/IGLV3-21/NFKBID/IGHV3-48/ARG1/C4BPA/IGLC3/IGLV2-23/IGHV3-23/IGKV3-15/IGHG2/IGKV1D-33/DLG1/CD55/CD28/IGLC6/SMAD7/CFI/IGKV2-30/PRKCZ/CD74/C4B/CD226/AICDA/STAT6/ADAM17/IGHV4-34/IGLV7-43/IL7R/ANXA1/B2M/IGKV2D-28/IGKV1-5/IGKV3-20/IGKV4-1/HSPD1/SOCS5/IGKV3D-11/SEMA4A/IRF7/UNC13D/IGLV3-1/TLR8/IGHV3-53/IGHV3-11/RIPK2/HLA-E/IGKV3D-20/C2/CD40LG/SPN/IGLC2/IGHV3-7/ATAD5/IGKV1-12/IGKV2-28/CLCF1/SCART1/IGHV4-59/AGER/ICAM1/CR2/CD81",146
"BP","GO:0002697","regulation of immune effector process","191/3706","441/17913",1.51437689222428e-27,4.63247891331407e-24,4.12866963248514e-24,"IL10/IGLV1-51/IRF4/C1S/CR1/C1R/IGLV3-25/NOD2/XCL1/RARA/IGHG4/IGHV1OR15-1/ITGB2/IL18R1/IL4R/IL18RAP/STAT1/CEACAM1/PTPRC/KLK7/FCER1G/IL6/TBX21/PROS1/SERPING1/HAVCR2/SLAMF6/NFKBIZ/CFB/FGR/IL1B/IGHV3-13/CLEC4G/FCER2/IGKV1-17/IGHV2-70/TNFAIP3/TRIM38/SH2D1A/ADGRE2/PARP9/ZC3H12A/CD244/MZB1/LBP/DDX21/CD86/TNFRSF1B/IGLV1-40/TRAF3IP1/C3/IGKV1-16/DUSP22/TLR4/HLA-G/LAG3/CD84/JAK3/C7/SERPINB9/MAD2L2/KLRK1/ELMOD2/IL1R1/IRAK3/IGLV1-47/CFH/BCL6/IGHG1/RASGRP1/IL2/IGHV3-33/SEMA7A/ZP3/LGALS3/IGLV6-57/KLK5/HLA-F/CCR2/MICB/IGKV1-39/IGLV3-19/IGHV4-39/IGLV1-44/C4BPB/GAB2/IGLV2-14/IGHV1-69/IGKV1D-39/RAET1G/C4A/IL27/IGHG3/IGLV3-21/ITGAM/NFKBID/CD300A/IGHV3-48/ARG1/TSPAN6/C4BPA/NLRX1/IGLC3/HMOX1/TSPAN32/IGLV2-23/IGHV3-23/LEP/CRTAM/RNF26/IGKV3-15/IGHG2/IGKV1D-33/CD55/CD28/VSIG4/IGLC6/SMAD7/CFI/IGKV2-30/C5AR1/TMBIM6/IL2RA/PRKCZ/CD74/C4B/CD226/STAT6/CFHR1/CD22/IGHV4-34/IGLV7-43/IL7R/SNX4/ANXA1/B2M/EIF2AK4/TGFB2/RIOK3/BIRC3/APOBEC3G/IGKV2D-28/IGKV1-5/CD96/IGKV3-20/CD177/IGKV4-1/FFAR3/A2M/CFP/HSPD1/SOCS5/C3AR1/LYN/SPON2/IGKV3D-11/PUM2/UNC13D/IGLV3-1/DTX3L/IGHV3-53/IGHV3-11/RIPK2/HLA-E/IGKV3D-20/C2/CD40LG/TRAF3IP2/TKFC/IGLC2/TLR3/IGHV3-7/ATAD5/SLAMF8/IGKV1-12/IGKV2-28/CLCF1/RAET1E/AIM2/CD160/IGHV4-59/TARBP2/ZMPSTE24/SIN3A/IL15/APOA1/AGER/ABR/CR2/PGC/CD81",191
"BP","GO:0050900","leukocyte migration","197/3706","467/17913",1.28207798915965e-26,2.61458437922624e-23,2.33023297678841e-23,"IL10/CALCA/THBS1/CH25H/MYO1G/IGLV1-51/SAA1/EDN1/CXCL17/GREM1/TNFRSF10A/SLC7A5/EDN3/IGLV3-25/NCKAP1L/XCL1/HCK/CCR7/IGHV1OR15-1/ITGB2/CXADR/SLC7A10/CXCR4/SLC7A7/CEACAM1/SLC8B1/FCER1G/IL6/TBX21/PROS1/DOK2/IGHV3-13/CCL13/IGKV1-17/IGHV2-70/CCR5/PIK3CB/ADGRE2/SLC7A6/CCL2/FPR2/OLR1/CD244/LBP/IGLV1-40/KIT/S100A9/AIF1/PTPRO/IRAK4/ADA/IGKV1-16/CXCL3/TNFRSF10B/CSF3R/SELPLG/CD84/ITGA5/CCR1/TREM2/KLRK1/IL1R1/SDC4/IGLV1-47/CXCL10/PIK3CD/CSF1/PIK3R2/S100A8/GPR183/IGHV3-33/ZP3/LGALS3/IGLV6-57/SWAP70/CCR2/IGKV1-39/IGLV3-19/CYP19A1/IGHV4-39/S1PR1/CD58/IGLV1-44/GP6/IGLV2-14/EDN2/IGHV1-69/IGKV1D-39/CNR2/IGLV3-21/ITGAM/CD300A/IGHV3-48/ADAM8/ITGAL/PADI2/IGLC3/HMOX1/ZAP70/IGLV2-23/IGHV3-23/LEP/TNFSF14/IGKV3-15/VCAM1/IGKV1D-33/NUP85/IGLC6/MMP14/MADCAM1/EPS8/IGKV2-30/C5AR1/CD74/IGHA1/MOSPD2/ADAM17/IGLL1/ITGAX/IGHV4-34/IGLV7-43/MERTK/ANXA1/TGFB2/LCK/CD2/EPCAM/ITGA9/VPREB1/CCL25/IGHM/IGKV2D-28/IGKV1-5/MSN/SDC2/APOD/ITGB7/ATP1B2/IGKV3-20/VPREB3/CD177/PTGER4/IGKV4-1/IL16/CXCL11/GCSAM/JCHAIN/CXCR1/EMILIN1/SLC3A2/CCL24/CCL8/C3AR1/LYN/SERPINE1/IGKV3D-11/F11R/SCG2/MMP1/DOCK8/IGLV3-1/DBH/SHC1/IGHV3-53/IGHV3-11/STK10/IGKV3D-20/FN1/PIK3CG/GPC1/SPN/IGLC2/IGHV3-7/VAV3/SLAMF8/CAMK1D/IGKV1-12/LRCH1/IGKV2-28/IGHV4-59/UMOD/GYPC/IL6R/TREM1/THBS4/CD200R1/PLVAP/SIRPG/JAML/MMP9/AGER/ICAM1/ABR/SLC12A2/GCNT1/JAM2/CD81",197
"BP","GO:0002449","lymphocyte mediated immunity","140/3706","293/17913",1.64680998930109e-25,2.51879587863601e-22,2.24486203804727e-22,"BCL3/IL10/MYO1G/IGLV1-51/C1S/CR1/C1RL/C1R/IGLV3-25/SLC11A1/XCL1/IGHG4/IGHV1OR15-1/IL18R1/IL4R/IL18RAP/CEACAM1/PTPRC/FCER1G/IL6/TBX21/SERPING1/KLRD1/HAVCR2/SLAMF6/IL1B/IGHV3-13/CLEC4G/FCER2/IGKV1-17/IGHV2-70/SLAMF7/SH2D1A/HLA-DQB1/PRF1/TNFRSF1B/IGLV1-40/C3/IGKV1-16/GCNT3/DUSP22/RAB27A/HLA-G/LAG3/C7/SLA2/SERPINB9/MAD2L2/KLRK1/IL1R1/IGLV1-47/BCL6/KLRC2/IGHG1/RASGRP1/IL2/IGHV3-33/BATF/ZP3/IGLV6-57/HLA-F/SWAP70/CCR2/IGKV1-39/IGLV3-19/IGHV4-39/IGLV1-44/C4BPB/IGLV2-14/IGHV1-69/IGKV1D-39/RAET1G/C4A/IGHG3/TCIRG1/IGLV3-21/IGHV3-48/ARG1/C4BPA/IGLC3/ULBP1/IGLV2-23/IGHV3-23/LEP/CRTAM/IGKV3-15/IGHG2/IGKV1D-33/DLG1/CD55/CD28/IGLC6/SMAD7/CFI/IGKV2-30/PRKCZ/CD74/C4B/CD226/AICDA/STAT6/IGHV4-34/IGLV7-43/IL7R/B2M/IGKV2D-28/IGKV1-5/CD96/IGKV3-20/IGKV4-1/HSPD1/IGKV3D-11/IRF7/UNC13D/IGLV3-1/TLR8/IGHV3-53/IGHV3-11/HLA-E/ULBP3/IGKV3D-20/C2/CD40LG/KIR3DL1/IGLC2/IGHV3-7/ATAD5/IGKV1-12/IGKV2-28/CLCF1/RAET1E/SCART1/CD160/IGHV4-59/GZMB/PRDX1/AGER/ICAM1/CR2/CD81",140
"BP","GO:0002526","acute inflammatory response","113/3706","220/17913",4.07299155761295e-24,4.9837124698952e-21,4.44170447756528e-21,"IGLV1-51/SAA1/OSMR/SERPINA3/C1S/CR1/C1R/IGLV3-25/OSM/IGHG4/STAT3/CCR7/IGHV1OR15-1/PLSCR1/TFR2/APOL2/FCER1G/IL6/PROS1/CD163/SERPING1/CFB/IL1B/IGHV3-13/IGKV1-17/SERPINA1/IGHV2-70/LBP/IGLV1-40/CRP/C3/IGKV1-16/C7/IGLV1-47/CFH/IGHG1/EIF2AK1/S100A8/IGHV3-33/ZP3/IGLV6-57/TAC1/HP/IGKV1-39/IGLV3-19/IGHV4-39/IGLV1-44/C4BPB/C2CD4B/IGLV2-14/IGHV1-69/IGKV1D-39/C4A/IGHG3/IGLV3-21/IGHV3-48/C4BPA/ADAM8/SERPINF2/IGLC3/IGLV2-23/IGHV3-23/IGKV3-15/VCAM1/IGHG2/IGKV1D-33/CD55/ORM2/VSIG4/IGLC6/IL6ST/ORM1/CFI/IGKV2-30/C5AR1/C4B/PRCP/CFHR1/IGHV4-34/IGLV7-43/IGKV2D-28/IGKV1-5/VNN1/IGKV3-20/IGKV4-1/FFAR3/A2M/CFP/C2CD4A/C3AR1/CEBPB/IGKV3D-11/SAA2/IGLV3-1/IGHV3-53/IGHV3-11/HLA-E/IGKV3D-20/C2/FN1/PIK3CG/IGLC2/IGHV3-7/IGKV1-12/F12/IGKV2-28/IGHV4-59/IL6R/CD6/TREM1/ICAM1/CR2/CD81",113
"BP","GO:0002455","humoral immune response mediated by circulating immunoglobulin","68/3706","104/17913",6.28368329877438e-23,6.40726240365028e-20,5.71043499783356e-20,"BCL3/IGLV1-51/C1S/CR1/C1RL/C1R/IGLV3-25/IGHG4/IGHV1OR15-1/PTPRC/SERPING1/IGHV3-13/FCER2/IGKV1-17/IGHV2-70/HLA-DQB1/IGLV1-40/C3/IGKV1-16/C7/IGLV1-47/IGHG1/IGHV3-33/ZP3/IGLV6-57/IGKV1-39/IGLV3-19/IGHV4-39/IGLV1-44/C4BPB/IGLV2-14/IGHV1-69/IGKV1D-39/C4A/IGHG3/IGLV3-21/IGHV3-48/C4BPA/IGLC3/IGLV2-23/IGHV3-23/IGKV3-15/IGHG2/IGKV1D-33/CD55/IGLC6/CFI/IGKV2-30/C4B/IGHV4-34/IGLV7-43/IGKV2D-28/IGKV1-5/IGKV3-20/IGKV4-1/IGKV3D-11/IGLV3-1/IGHV3-53/IGHV3-11/IGKV3D-20/C2/IGLC2/IGHV3-7/IGKV1-12/IGKV2-28/IGHV4-59/CR2/CD81",68
"BP","GO:0019724","B cell mediated immunity","94/3706","173/17913",1.44552127095279e-22,1.26338559081274e-19,1.12598499000533e-19,"BCL3/IL10/IGLV1-51/C1S/CR1/C1RL/C1R/IGLV3-25/XCL1/IGHG4/IGHV1OR15-1/IL4R/PTPRC/FCER1G/TBX21/SERPING1/IGHV3-13/FCER2/IGKV1-17/IGHV2-70/HLA-DQB1/IGLV1-40/C3/IGKV1-16/GCNT3/HLA-G/C7/SLA2/MAD2L2/IGLV1-47/BCL6/IGHG1/IL2/IGHV3-33/BATF/ZP3/IGLV6-57/SWAP70/IGKV1-39/IGLV3-19/IGHV4-39/IGLV1-44/C4BPB/IGLV2-14/IGHV1-69/IGKV1D-39/C4A/IGHG3/TCIRG1/IGLV3-21/IGHV3-48/C4BPA/IGLC3/IGLV2-23/IGHV3-23/IGKV3-15/IGHG2/IGKV1D-33/CD55/CD28/IGLC6/CFI/IGKV2-30/CD74/C4B/CD226/AICDA/STAT6/IGHV4-34/IGLV7-43/IGKV2D-28/IGKV1-5/IGKV3-20/IGKV4-1/HSPD1/IGKV3D-11/IRF7/IGLV3-1/TLR8/IGHV3-53/IGHV3-11/HLA-E/IGKV3D-20/C2/CD40LG/IGLC2/IGHV3-7/ATAD5/IGKV1-12/IGKV2-28/CLCF1/IGHV4-59/CR2/CD81",94
"BP","GO:0006958","complement activation, classical pathway","62/3706","91/17913",1.82566038811179e-22,1.39617378180849e-19,1.24433168558146e-19,"IGLV1-51/C1S/CR1/C1RL/C1R/IGLV3-25/IGHG4/IGHV1OR15-1/SERPING1/IGHV3-13/IGKV1-17/IGHV2-70/IGLV1-40/C3/IGKV1-16/C7/IGLV1-47/IGHG1/IGHV3-33/IGLV6-57/IGKV1-39/IGLV3-19/IGHV4-39/IGLV1-44/C4BPB/IGLV2-14/IGHV1-69/IGKV1D-39/C4A/IGHG3/IGLV3-21/IGHV3-48/C4BPA/IGLC3/IGLV2-23/IGHV3-23/IGKV3-15/IGHG2/IGKV1D-33/CD55/IGLC6/CFI/IGKV2-30/C4B/IGHV4-34/IGLV7-43/IGKV2D-28/IGKV1-5/IGKV3-20/IGKV4-1/IGKV3D-11/IGLV3-1/IGHV3-53/IGHV3-11/IGKV3D-20/C2/IGLC2/IGHV3-7/IGKV1-12/IGKV2-28/IGHV4-59/CR2",62
"BP","GO:0050727","regulation of inflammatory response","191/3706","479/17913",2.25491690744467e-22,1.53284240441628e-19,1.36613679304835e-19,"SOCS3/IL10/ZYX/SIGLEC10/IGLV1-51/TLR2/SAA1/CXCL17/OSMR/C1S/CR1/C1R/IGLV3-25/NOD2/OSM/XCL1/HCK/SERPINF1/IGHG4/CCR7/IGHV1OR15-1/ITGB2/SBNO2/GBP5/CST7/IL1RL1/PTPRC/PLA2G2A/FCER1G/IL6/PROS1/SERPING1/IGF1/FANCA/NFKBIZ/CFB/IL1B/IGHV3-13/IGKV1-17/IGHV2-70/TNFAIP3/FPR2/ZC3H12A/LILRA5/LBP/TNFRSF1B/IGLV1-40/PTPN2/S100A9/C3/DUOXA2/ADA/VPS35/IGKV1-16/TLR4/SLC7A2/C7/TREM2/TNFRSF1A/IL1R1/NR1D2/NLRP6/IGLV1-47/CFH/IGHG1/OTULIN/S100A8/IL1R2/IL2/IGHV3-33/SEMA7A/ZP3/IGLV6-57/FANCD2/TAC1/CCR2/IGKV1-39/IGLV3-19/ACP5/TLR10/CYP19A1/IGHV4-39/TNFAIP6/IGLV1-44/C4BPB/C2CD4B/IGLV2-14/IGHV1-69/IGKV1D-39/CNR2/C4A/PDCD4/IGHG3/IGLV3-21/ITGAM/IGHV3-48/C4BPA/ADAM8/NLRX1/IGLC3/IGLV2-23/IGHV3-23/LEP/MMP3/IGKV3-15/IGHG2/IGKV1D-33/CD55/CD28/RELA/VSIG4/IGLC6/IL6ST/CFI/IGKV2-30/NAPEPLD/C5AR1/MIR590/JAK2/IL2RA/C4B/ISL1/PBK/CFHR1/IGHV4-34/IGLV7-43/SNX4/ANXA1/ETS1/MEFV/BIRC3/IGKV2D-28/IGKV1-5/APOE/MYD88/APOD/IGKV3-20/PTGIS/PTGER4/IGKV4-1/FFAR3/A2M/DDTL/NEAT1/BRD4/IL1RL2/ADCY7/CFP/CCL24/SCGB1A1/C2CD4A/SOCS5/C3AR1/LYN/SUCNR1/CEBPB/SERPINE1/IGKV3D-11/PPARA/IGLV3-1/IGHV3-53/IGHV3-11/HLA-E/IGKV3D-20/C2/NLRP7/PIK3CG/IL20/NFKBIA/IL17B/FNDC4/IGLC2/TLR3/IGHV3-7/SLAMF8/SPATA2/IGKV1-12/F12/IGKV2-28/IGHV4-59/CD6/IL15/CD200R1/METRNL/MMP9/APOA1/KRT1/AGER/ABR/CR2/CD81",191
"BP","GO:0030449","regulation of complement activation","72/3706","116/17913",3.36397336305591e-22,2.05807890351761e-19,1.83425073901365e-19,"IGLV1-51/C1S/CR1/C1R/IGLV3-25/IGHG4/IGHV1OR15-1/PROS1/SERPING1/CFB/IL1B/IGHV3-13/IGKV1-17/IGHV2-70/IGLV1-40/C3/IGKV1-16/C7/IGLV1-47/CFH/IGHG1/IGHV3-33/IGLV6-57/IGKV1-39/IGLV3-19/IGHV4-39/IGLV1-44/C4BPB/IGLV2-14/IGHV1-69/IGKV1D-39/C4A/IGHG3/IGLV3-21/IGHV3-48/C4BPA/IGLC3/IGLV2-23/IGHV3-23/IGKV3-15/IGHG2/IGKV1D-33/CD55/VSIG4/IGLC6/CFI/IGKV2-30/C5AR1/C4B/CFHR1/IGHV4-34/IGLV7-43/IGKV2D-28/IGKV1-5/IGKV3-20/IGKV4-1/A2M/CFP/C3AR1/IGKV3D-11/IGLV3-1/IGHV3-53/IGHV3-11/IGKV3D-20/C2/IGLC2/IGHV3-7/IGKV1-12/IGKV2-28/IGHV4-59/CR2/CD81",72
